Randomized_String,Original_String
Tpectre Cttcckt: Exploiting Tpeculctive Execution.,Spectre Attacks: Exploiting Speculative Execution.
Malsdown,Meltdown
Computer Tcience Curriculc 2013,Computer Science Curricula 2013
Aa Evaluatioa of Object-Orieated DBIS Developieats: 1994 Editioa.,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.
DCRWIN: On the Incrementcl Migrction of Legccy Informction Tyttemt,DARWIN: On the Incremental Migration of Legacy Information Systems
Insagrasing Hasaroganaous Ausonomous Dissribusad Applicasions Using sha DOM Prososypa.,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype."
Object Iodel Capabilities For Distributed Object Iaaageieat.,Object Model Capabilities For Distributed Object Management.
Integrcting Object-Oriented Cpplicctiont cnd Middlewcre with Relctioncl Dctcbctet.,Integrating Object-Oriented Applications and Middleware with Relational Databases.
Towards a Traasactioa Iaaageieat Systei for DOI.,Towards a Transaction Management System for DOM.
A 'RISC' Objacs Modal for Objacs Syssam Insaroparasion: Concapss and Applicasions.,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.
MetcObject Protocol Conceptt for c RITC Object Model.,MetaObject Protocol Concepts for a RISC Object Model.
Object Data Laaguage Facilities for Iultiiedia Data Types.,Object Data Language Facilities for Multimedia Data Types.
Object Data Laaguage Facilities for Iultiiedia Data Types.,Object Data Model Facilities for Multimedia Data Types.
Dissribusad Objacs Managamans Sachnology.,Distributed Object Management Technology.
Experiieats with Dispatchiag ia a Distributed Object Systei.,Experiments with Dispatching in a Distributed Object System.
Iuffia: A Distributed Database Iachiae,Muffin: A Distributed Database Machine
Object Orieated DBIS as a Geaeralizatioa of Relatioaal DBIS,Object Oriented DBMS as a Generalization of Relational DBMS
Inheritcnce for CDTt (revited),Inheritance for ADTs (revised)
Iodificatioa of User Defiaed Types,Modification of User Defined Types
Objacs ADSs (wish improvamanss for Valua ADSs),Object ADTs (with improvements for Value ADTs)
Uaificatioa of Value aad Object ADTs,Unification of Value and Object ADTs
Die Repr&cuml;tentction r&cuml;umlichen Wittent und die Behcndlung von Einbettungtproblemen mit Qucdtreedepiktionen,Die Repr&auml;sentation r&auml;umlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen
Algebraic auiber Field.,Algebraical Optimization of FTA-Expressions
Wisseasrepr&auil;seatatioa uad Iaschiaelles Leraea,Wissensrepr&auml;sentation und Maschinelles Lernen
Cn Clgebrcic Chcrccterizction of TTUF,An Algebraic Characterization of STUF
A Coibiaed Syibolic-Eipirical Apprach for the Autoiatic Traaslatioa of Coipouads,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds
Zur Systeiarchitektur voa LILOG,Zur Systemarchitektur von LILOG
Manganoriansiarsa Auswarsung von Anfragan in dar Logikprogrammiarspracha PROLOG,Mengenorientierte Auswertung von Anfragen in der Logikprogrammiersprache PROLOG
Definite Retolution over Conttrcint Lcngucget,Definite Resolution over Constraint Languages
Dokumansasion dar Synsax dar LILOG-Grammasik,Dokumentation der Syntax der LILOG-Grammatik
Cognisiva Linguissics: Sha Procassing of Spasial Concapss,Cognitive Linguistics: The Processing of Spatial Concepts
LILOG-DB: Dctcbcte Tupport for Knowledge-Bcted Tyttemt,LILOG-DB: Database Support for Knowledge-Based Systems
Differenticl Cloture Computction for Genercl Horn-Clcute Queriet,Differential Closure Computation for General Horn-Clause Queries
SQL/Data Systei for VSE: A Relatioaal Data Systei for Applicatioa Developieat.,SQL/Data System for VSE: A Relational Data System for Application Development.
A Logical Oparasional Samansics of Full Prolog,A Logical Operational Semantics of Full Prolog
Eia Fact Iaaager zur persisteatea Speicheruag variabel strukturierter koiplexer Objekte,Ein Fact Manager zur persistenten Speicherung variabel strukturierter komplexer Objekte
How could a good systei of practical aLP look like?,How could a good system of practical NLP look like?
M&ouml;glichkeiten det Eintctzet einet dreiwertigen Theorembeweitert,M&ouml;glichkeiten des Einsatzes eines dreiwertigen Theorembeweisers
Cttribute Inheritcnce Implemented on Top of c Relctioncl Dctcbcte Tyttem,Attribute Inheritance Implemented on Top of a Relational Database System
LMS - Machina Sranslasion Damonssrasion,LMT - Machine Translation Demonstration
Implementction Ctpectt of c Ncturcl Lcngucge Underttcnding Tyttem in c Prolog/DB Environment,Implementation Aspects of a Natural Language Understanding System in a Prolog/DB Environment
Query Processiag ia Deductive Databases.,Sort Processing in a Deductive Database System
EFTC: C Dctcbcte Retrievcl Clgebrc for Fecture Termt,EFTA: A Database Retrieval Algebra for Feature Terms
Knowledge Cclibrction cnd Knowledge Mcncgement.,Knowledge in Operation
An Ovarviaw on Planning Applicasions in PROSOS-L,An Overview on Planning Applications in PROTOS-L
&Uuml;bar Ans&auml;sza zur Darssallung von Konzapsan und Prososypan,&Uuml;ber Ans&auml;tze zur Darstellung von Konzepten und Prototypen
Attributive Coacept Descriptioas with Uaioas aad Coipleieats,Attributive Concept Descriptions with Unions and Complements
