Randomized_String,Original_String,Hash_Time_Per_Query,Leven_Time_Per_Query
Spectre Attacks: Exploitiag Speculative Executioa.,Spectre Attacks: Exploiting Speculative Execution.,1.7289457321166992,0.9495196342468262
Malsdown,Flip-Pushdown Automata: k+1 Pushdown Reversals Are Better than k.,0.031652212142944336,0.025238990783691406
Computer Tcience Curriculc 2013,Scaling High School Computer Science: Exploring Computer Science and Computer Science Principles.,1.3148384094238281,0.7915201187133789
Aa Evaluatioa of Object-Orieated DBIS Developieats: 1994 Editioa.,An Evaluation of Object-Oriented DBMS Developments: 1994 Edition.,1.3553178310394287,0.7333977222442627
DARWIN: On sha Incramansal Migrasion of Lagacy Informasion Syssams,DARWIN: On the Incremental Migration of Legacy Information Systems,1.703385829925537,0.951406717300415
Integrcting Heterogeneout Cutonomout Dittributed Cpplicctiont Uting the DOM Prototype.,"Integrating Heterogeneous, Autonomous, Distributed Applications Using the DOM Prototype.",2.4193265438079834,1.4805147647857666
Object Model Ccpcbilitiet For Dittributed Object Mcncgement.,Object Model Capabilities For Distributed Object Management.,1.943532943725586,0.9389493465423584
Iategratiag Object-Orieated Applicatioas aad Iiddleware with Relatioaal Databases.,Integrating Object-Oriented Applications and Middleware with Relational Databases.,2.997725486755371,1.3389887809753418
Towcrdt c Trcntcction Mcncgement Tyttem for DOM.,Towards a Transaction Management System for DOM.,0.5808608531951904,0.4688262939453125
A 'RISC' Objacs Modal for Objacs Syssam Insaroparasion: Concapss and Applicasions.,A 'RISC' Object Model for Object System Interoperation: Concepts and Applications.,1.9965500831604004,1.0507266521453857
IetaObject Protocol Coacepts for a RISC Object Iodel.,MetaObject Protocol Concepts for a RISC Object Model.,1.4783051013946533,0.8423812389373779
Object Dctc Lcngucge Fccilitiet for Multimedic Dctc Typet.,Object Data Language Facilities for Multimedia Data Types.,1.460564136505127,0.8252072334289551
Object Dctc Model Fccilitiet for Multimedic Dctc Typet.,Object Data Model Facilities for Multimedia Data Types.,1.7318084239959717,0.9037003517150879
Dittributed Object Mcncgement Technology.,Exploring Technology Evolution Pathways to Facilitate Technology Management: From a Technology Life Cycle Perspective.,1.065582036972046,0.5744466781616211
Experimentt with Ditpctching in c Dittributed Object Tyttem.,Experiments with Dispatching in a Distributed Object System.,2.0129547119140625,0.9963893890380859
Muffin: C Dittributed Dctcbcte Mcchine,Distributed Picard Iteration: Application to Distributed EM and Distributed PCA.,1.1149299144744873,0.6638867855072021
Object Orieated DBIS as a Geaeralizatioa of Relatioaal DBIS,Object Oriented DBMS as a Generalization of Relational DBMS,1.5763349533081055,0.9865591526031494
Inharisanca for ADSs (ravisad),Intelligence qualitative dans la gestion de risques : r&ocirc;le de la documentarisation et des Syst&egrave;mes d'Organisation des Connaissances.,0.3781583309173584,0.30637288093566895
Modificction of Uter Defined Typet,Modification of User Defined Types,1.0042698383331299,0.745577335357666
Objacs ADSs (wish improvamanss for Valua ADSs),Object ADTs (with improvements for Value ADTs),0.9179589748382568,0.6065177917480469
Uaificatioa of Value aad Object ADTs,Unification of Value and Object ADTs,0.6709380149841309,0.4669060707092285
Die Repr&auil;seatatioa r&auil;uilichea Wisseas uad die Behaadluag voa Eiabettuagsprobleiea iit Quadtreedepiktioaea,Die Repr&auml;sentation r&auml;umlichen Wissens und die Behandlung von Einbettungsproblemen mit Quadtreedepiktionen,1.8537366390228271,1.1376867294311523
Clgebrciccl Optimizction of FTC-Exprettiont,Zebra Optimization Algorithm: A New Bio-Inspired Optimization Algorithm for Solving Optimization Algorithm.,0.7984504699707031,0.6678342819213867
Wittentrepr&cuml;tentction und Mctchinellet Lernen,"Hierarchische Modelle f&uuml;r das visuelle Erkennen und Lernen von Objekten, Szenen und Aktivit&auml;ten.",1.1942112445831299,0.7035689353942871
Cn Clgebrcic Chcrccterizction of TTUF,An Algebraic Characterization of Testable Boolean CSPs.,0.46573448181152344,0.40488171577453613
A Coibiaed Syibolic-Eipirical Apprach for the Autoiatic Traaslatioa of Coipouads,A Combined Symbolic-Empirical Apprach for the Automatic Translation of Compounds,1.6744534969329834,0.9460923671722412
Zur Tyttemcrchitektur von LILOG,Zur Systemarchitektur von LILOG,0.5485944747924805,0.43057751655578613
