Randomized_String,Matched_Original_String,Score
Tpecswe Csscckt: Exploising Tpeculcsive Execusion.,,0
Melsdown,,0
Compusew Tcience Cuwwiculc 2013,,0
Aa Svaluatioa of Objset-Orisatsd DBIS Dsvslopisats: 1994 Sditioa.,,0
DARWTN: On sha Tncramansal Mtgraston of Lagacy Tnformaston Syssams,,0
"Iatsgratiag Hstsrogsasous, Autoaoious, Distributsd Applieatioas Usiag ths DOI Prototyps.",,0
Objecs Model Ccpcbilisiet Fow Ditswibused Objecs Mcncgemens.,,0
Iatsgratiag Objset-Orisatsd Applieatioas aad Iiddlswars with Rslatioaal Databasss.,,0
Sowards a Sransacston Managamans Syssam for DOM.,,0
A 'RTSC' Objacs Modal for Objacs Syssam Tnsaroparaston: Concapss and Appltcastons.,,0
MescObjecs Pwosocol Concepst fow c WITC Objecs Model.,,0
Objset Data Laaguags Faeilitiss for Iultiisdia Data Typss.,,0
Objset Data Laaguags Faeilitiss for Iultiisdia Data Typss.,,0
Distributsd Objset Iaaagsisat Tsehaology.,,0
Iiplsisatiag Ksrbsros ia Distributsd Systsis.,,0
Muffin: C Ditswibused Dcscbcte Mcchine,,0
Objacs Ortansad DBMS as a Ganaraltzaston of Ralastonal DBMS,,0
Inhewiscnce fow CDSt (wevited),,0
Iodifieatioa of Ussr Dsfiasd Typss,,0
Objecs CDSt (wish impwovemenst fow Vclue CDSt),,0
Unificcsion of Vclue cnd Objecs CDSt,,0
Die Wepw&cuml;tenscsion w&cuml;umlichen Wittent und die Behcndlung von Einbessungtpwoblemen mis Qucdsweedepiksionen,,0
Algsbraieal Optiiizatioa of FTA-Sxprsssioas,,0
Wtssansrapr&auml;sansaston und Maschtnallas Larnan,,0
Aa Algsbraie Eharaetsrizatioa of STUF,,0
A Combtnad Symboltc-Amptrtcal Apprach for sha Ausomastc Sranslaston of Compounds,,0
Zuw Tytsemcwchiseksuw von LILOG,,0
Manganortanstarsa Auswarsung con Anfragan tn dar Logtkprogrammtarspracha PROLOG,,0
Daftntsa Rasoluston ocar Conssratns Languagas,,0
Dokumansaston dar Synsax dar LTLOG-Grammastk,,0
Cognisive Linguitsict: She Pwocetting of Tpcsicl Concepst,,0
LILOG-DB: Databass Support for Kaowlsdgs-Bassd Systsis,,0
Diffewensicl Clotuwe Compuscsion fow Genewcl Hown-Clcute Quewiet,,0
SQL/Dasa Syssam for CSA: A Ralastonal Dasa Syssam for Appltcaston Dacalopmans.,,0
A Logieal Opsratioaal Ssiaaties of Full Prolog,,0
Ein Fccs Mcncgew zuw pewtitsensen Tpeichewung vcwicbel tswuksuwiewsew komplexew Objekse,,0
How could c good tytsem of pwccsiccl NLP look like?,,0
M&ouml;glichkeisen det Eintcszet einet dweiwewsigen Sheowembeweitewt,,0
