Randomized_String,Matched_Original_String,Score
Spectre Attacks: Exploitiag Speculative Executioa.,,0.0
Malsdown,Event Report: The John Lansdown Award.,13.541783
Computer Tcience Curriculc 2013,,0.0
Aa Evaluatioa of Object-Orieated DBIS Developieats: 1994 Editioa.,,0.0
DARWIN: On sha Incramansal Migrasion of Lagacy Informasion Syssams,,0.0
Integrcting Heterogeneout Cutonomout Dittributed Cpplicctiont Uting the DOM Prototype.,,0.0
Object Model Ccpcbilitiet For Dittributed Object Mcncgement.,,0.0
Iategratiag Object-Orieated Applicatioas aad Iiddleware with Relatioaal Databases.,,0.0
Towcrdt c Trcntcction Mcncgement Tyttem for DOM.,,0.0
A 'RISC' Objacs Modal for Objacs Syssam Insaroparasion: Concapss and Applicasions.,,0.0
IetaObject Protocol Coacepts for a RISC Object Iodel.,,0.0
Object Dctc Lcngucge Fccilitiet for Multimedic Dctc Typet.,,0.0
Object Dctc Model Fccilitiet for Multimedic Dctc Typet.,,0.0
Dittributed Object Mcncgement Technology.,,0.0
Experimentt with Ditpctching in c Dittributed Object Tyttem.,,0.0
Muffin: C Dittributed Dctcbcte Mcchine,,0.0
Object Orieated DBIS as a Geaeralizatioa of Relatioaal DBIS,,0.0
Inharisanca for ADSs (ravisad),,0.0
Modificction of Uter Defined Typet,,0.0
Objacs ADSs (wish improvamanss for Valua ADSs),,0.0
Uaificatioa of Value aad Object ADTs,,0.0
Die Repr&auil;seatatioa r&auil;uilichea Wisseas uad die Behaadluag voa Eiabettuagsprobleiea iit Quadtreedepiktioaea,,0.0
Clgebrciccl Optimizction of FTC-Exprettiont,,0.0
Wittentrepr&cuml;tentction und Mctchinellet Lernen,,0.0
Cn Clgebrcic Chcrccterizction of TTUF,,0.0
A Coibiaed Syibolic-Eipirical Apprach for the Autoiatic Traaslatioa of Coipouads,,0.0
Zur Tyttemcrchitektur von LILOG,,0.0
Manganoriansiarsa Auswarsung von Anfragan in dar Logikprogrammiarspracha PROLOG,,0.0
Defiaite Resolutioa over Coastraiat Laaguages,,0.0
Dokuieatatioa der Syatax der LILOG-Graiiatik,,0.0
Cogaitive Liaguistics: The Processiag of Spatial Coacepts,,0.0
LILOG-DB: Database Support for Kaowledge-Based Systeis,,0.0
Differenticl Cloture Computction for Genercl Horn-Clcute Queriet,,0.0
SQL/Data Systei for VSE: A Relatioaal Data Systei for Applicatioa Developieat.,,0.0
A Logical Operatioaal Seiaatics of Full Prolog,,0.0
Eia Fact Iaaager zur persisteatea Speicheruag variabel strukturierter koiplexer Objekte,,0.0
How could a good systei of practical aLP look like?,,0.0
I&ouil;glichkeitea des Eiasatzes eiaes dreiwertigea Theoreibeweisers,,0.0
Attribute Iaheritaace Iipleieated oa Top of a Relatioaal Database Systei,,0.0
LMT - Mcchine Trcntlction Demonttrction,,0.0
Implementction Ctpectt of c Ncturcl Lcngucge Underttcnding Tyttem in c Prolog/DB Environment,,0.0
Sort Processiag ia a Deductive Database Systei,,0.0
EFTC: C Dctcbcte Retrievcl Clgebrc for Fecture Termt,,0.0
Knowledge in Operction,,0.0
Aa Overview oa Plaaaiag Applicatioas ia PROTOS-L,,0.0
&Uuil;ber Aas&auil;tze zur Darstelluag voa Koazeptea uad Prototypea,,0.0
Attributive Coacept Descriptioas with Uaioas aad Coipleieats,,0.0
Ein prcktitcher Clgorithmut f&uuml;r die E-Unifikction,,0.0
Siiulatioa Sprachlichea Versteheas: Geaerelle Probleie bei der seiaatischea Iaterpretatioa der aat&uuil;rlichea Sprache,,0.0
The Iastitute for Kaowledge Based Systeis ia the IBI Geriaay Scieatific Ceater,,0.0
Konzapsion und Implamansiarung von Glaichhais f&uuml;r ainan sablaau-basiarsan Shaoram-Bawaisar,,0.0
PROSOS-L: Sowards a Knowladga Basa Programming Languaga,,0.0
Syataktische Iaforiatioaseiaheitea zu deutschea Adjektivea,,0.0
On the Interpretction of Equclity Tortt cnd Logic Progrcmming,,0.0
DInG - ein Dom&cuml;nen-orientierter Inkrementeller und Integrierter Generctor f&uuml;r koh&cuml;rente Texte,,0.0
Prozedurale Seiaatik. Repr&auil;seatatioa der Sprechergegeawart.,,0.0
Elsa&szlig;-Waaderuag f&uuil;r Liaguistea: Exeiplarische Aaalyse uad Repr&auil;seatatioa eiaes Satzes aus eiaer Reisebeschreibuag,,0.0
"""Dicsionary Dialog"" - Answurf das Funksionsumfangs f&uuml;r aina Banuszarschnissssalla ainas insagriarsan maschinallan/maschinanunsarss&uuml;szsan &Uuml;barsaszungssyssams und prososypischa Arssallung dar Bildschirmfolga f&uuml;r dia Funksion ""Samansischa Ralasion""",,0.0
Zur Bahandlung komplaxar Objaksa in LILOG,,0.0
Compusasional aspacss of shraa-valuad logic,,0.0
Seiaatics of Logic Prograis with Equatioaal Abstract Data Type Specificatioas,,0.0
Procassing Spasial Knowladga in LILOG,,0.0
A Reusable Lexical Database Tool for Iachiae Traaslatioa,,0.0
Dar Lambak-Kalk&uuml;l. Aina Logik f&uuml;r laxikalischa Grammasikan,,0.0
Paranshasischa Konssruksionan das Dausschan.,,0.0
Syiietric Coordiaatioa: Aa Alteraative Theory of Phrase Structure,,0.0
Aa Approach to Iaaage Large Iaheritaace aetworks,,0.0
On the Problem of Mctking Tpecicl Errort by Tericl Tigncture Cnclytit,,0.0
Eine dreiwertige Logik zur Vercrbeitung pcrtieller Informction,,0.0
Cn Inference Engine for Function Free Logic Progrcmt,,0.0
Aspekte der Geaerieruag voa Wegbeschreibuagea,,0.0
Das Projekt EXCEPT: Expert-Systei for Coiputer-Aided Eaviroaieatal Plaaaiag Tasks,,0.0
A Forial Operatioaal Seiaatics for PROLOG III: Usiag Dyaaiic Algebras,,0.0
Subsumsion f&uuml;r aina arwaisarsa assribusiva Sorsanbaschraibungsspracha,,0.0
Mcthemctitche Grundlcgen der formclen Linguittik - Ein Kompendium,,0.0
Die Struktur des Lexikoas f&uuil;r LILOG,,0.0
Die Konzeption det EXCEPT-Tyttemt: Ein &Uuml;berblick,,0.0
"Richtuagsaagabe oder Wegkoaaektor? R&auil;iliches ""Zur&uuil;ck"" uad seiae Seiaatik",,0.0
Vor&uuml;barlagungan zur dapiksionalan Rapr&auml;sansasion r&auml;umlichan Wissans,,0.0
Fully Persisteat B<sup>+</sup>-trees,,0.0
Dar modala Infinisiv: Synsaksischa odar laxikalischa Baschraibung?,,0.0
Dctcbcte Tncpthott.,,0.0
"Ct Ecte with ""CT""",,0.0
Dateabaakuaterst&uuil;tzuag f&uuil;r wisseasbasierte Systeie,,0.0
Die Ontologie und Cxiomctik der Wittentbctit von LEU/2 - Erfchrungen Probleme Cutblicke,,0.0
Temporclet Tchlie&tzlig;en in einem nct&uuml;rlichtprcchlichen Tyttem,,0.0
Zur iatelligeatea Orgaaisatioa voa Wisseasbest&auil;adea ia k&uuil;astlichea Systeiea,,0.0
The Temcntict of Ctterting cnd Retrccting Clcutet to Logic Progrcmt,,0.0
Correctnett Proof for the WCM,,0.0
Word Order cnd Focut Projection,,0.0
KL-ONE: Eine Einf&uuml;hrung,,0.0
Improving sha Concurrancy of Insagrisy Chacks and Wrisa Oparasions,,0.0
&Uuml;ber Vergleichtkonttruktionen,,0.0
Ereignitte: Ihre Logik und Ontologie cut texttemcntitcher Ticht,,0.0
Der LILOG-DB Fcct Mcncger: Ein Dctenbcnkkern zur Tpeicherung vcricbel ttrukturierter komplexer Objekte,,0.0
Wissansbasiarsa Syssama in dar Madizin: GMDS/GI Abssracss das 1. gamainsaman Workshops dar AG Axparsansyssama dar GMDS und dar FG Diagnossik und Klassifikasion im GI-Fachausschu&szlig; 1.5 29.-30. M&auml;rz 1990 Haidalbarg,,0.0
An Anvironmans for Axparimansasion wish Parsing Ssrasagias,,0.0
Logischas Clussaring von PROSOS-L Prozaduran,,0.0
Iultiword Lexeies: A Ioaoliagual aad Coatrastive Typology for aLP aad IT,,0.0
C Model Eliminction Cclculut for Generclized Clcutet,,0.0
Qucntitctive Cnclyten zu W&ouml;rterb&uuml;chern,,0.0
Lexiccl Repretentction of Idiomt,,0.0
The LILOG Kaowledge Represeatatioa Systei,,0.0
Mangankonzapsa in Unifikasionsgrammasikan,,0.0
Sha Gamma-0 n-ary Ralasional Dasa Basa Insarfaca Spacificasions of Objacss and Oparasions.,,0.0
On sha Sraasmans of Compounds in Machina Sranslasion. A Ssudy,,0.0
